seller_id,Orders_Count,Average_Score,Review_Count
0x48EFC9D94A9834137EFD9EA76B065A38,34,5.000000,34
0xA08692680C77D30A0B4280DA5DF01C5A,17,5.000000,17
0x0B36063D5818F81CCB94B54ADFAEBBF5,15,5.000000,15
0xC8C1BEA22194A4EEFA2DC9A9FA89F536,13,5.000000,13
0x2ADDF05F476D0637864454E93BA673D5,12,5.000000,12
0x404E1BA01358AF4CD63F679B2C4D1FA1,12,5.000000,12
0x0570350B23EDA5444F8D1D9544932058,11,5.000000,11
0xAB27BBBAD5239BC31A34709275A70DB4,11,5.000000,11
0xB2EECF5EA250510DA76590CA79D60E5D,11,5.000000,11
0x53B0300CA793F9834CD69C0678D35EE8,10,5.000000,10
0x293DEE954235E4E4E43F129313625EBE,9,5.000000,9
0x71DC18FD8CBF5FD77F45DD8B427ABB34,9,5.000000,9
0x4049512728D969BEC69F84088B012416,9,5.000000,9
0x7F5E4D5EFAD7E44B91115DD1DECB65F3,9,5.000000,9
0x39A5005F2605CBDB4F9AC14485CABFD1,8,5.000000,8
0x297D5ECCD19FA9A83B2630071FF105E4,8,5.000000,8
0xEC933281FB017B5020D06DF29C3F77E8,8,5.000000,8
0xEC8463980A4E0EA9F8517AEA1ED0C419,8,5.000000,8
0xC3FE93BA3085F92855C97E57F38C8C05,7,5.000000,7
0x7994B065A7FFB14E71C6312CF87B9DE2,7,5.000000,7
0x5721089BA9214E80074F27D5A03FC0EB,7,5.000000,7
0xBDF0D02D36A1D839D0C39C4A887CDD49,7,5.000000,7
0xC03121937E54A93FCC1825C3098BBB6E,7,5.000000,7
0x23CA5F678E0B3EA6C630B30FA8BF51EA,7,5.000000,7
0x661AD5FCC28CDFB8BCADB12BB2272475,7,5.000000,7
0x9C1C0C36CD23C20897E473901A8FB149,7,5.000000,7
0xE439F7176D763F92DE325271111B2FD5,7,5.000000,7
0x74871D19219C7D518D0090283E03C137,7,5.000000,7
0x2BD05D410A8FD26DC4184A15F4F2F588,7,5.000000,7
0xEDD066CD02126D7800F9B66E980E9931,6,5.000000,6
0x186CDD1B2DF32CAA72CFB410BBA768D3,6,5.000000,6
0xA64E44665225D19DFC0277EEEAACCC57,6,5.000000,6
0xF8D5C7085DB9A4AD2B8C1FFBEB2798C8,6,5.000000,6
0x99A25C39B28A74D1151C35C18D178292,6,5.000000,6
0x20A7EFA9721046319BDDE5D60B6B5365,6,5.000000,6
0xA3B42D266FA8AFC874B909422CE88582,6,5.000000,6
0x269C5FC9FCADEE614364C3620C30A1F9,6,5.000000,6
0x228E4C1A0BE164F613D41C24345F9D2C,5,5.000000,5
0xCF1313C6E2C01C2F4B014F97DB4BCD2B,5,5.000000,5
0x09BAD886111255C5B5030314FC7F1A4A,5,5.000000,5
0x6C17BAF138731A4AAACC3210ADF2037B,5,5.000000,5
0x41E0FA5761C886A630994A55C12087E7,5,5.000000,5
0xE73BF2CEA7FE4B0B4D287A7568ED1099,5,5.000000,5
0x0AD80DE75C811326389CFB1DABA7D45E,6,5.000000,5
0x1CD9E0CC1839D55516843DEF5600816D,5,5.000000,5
0x762FAFDAA57A532EE0119731697579DD,5,5.000000,5
0x94CA168E8BCB407AB85C5DA308863027,5,5.000000,5
0x6548C2550B6E2D8F18053216E1C7B6F3,5,5.000000,5
0x0C7F30AE9B147ECA07AFFBEF92832A6A,5,5.000000,5
0x01ED254B9FF8407DFB9D99BA1E17D923,5,5.000000,5
0x0EC28CEC4046A4A199B6DE9B4C891D97,4,5.000000,4
0x26B482DCCFA29BD2E40703BA45523702,4,5.000000,4
0x83F2B4881141CE3FCD4E985125D3279E,4,5.000000,4
0x929F342384A6607AFE143D789ADE1316,4,5.000000,4
0x918717417D88A9F9AE9735567E6C7682,4,5.000000,4
0x6C9875B2F94BA781186F0C1AED8D1687,4,5.000000,4
0xFD312B6BF05EFAC6C3772D5B52205D8A,4,5.000000,4
0x2B2FED75B8E5EA3A052FC4C0825DA485,4,5.000000,4
0x3BFBA5A77604F6DFAE7E6DD7AAF65821,4,5.000000,4
0xFC908879B9CA1BD65419E54E50432D38,4,5.000000,4
0xC04D70D515D15A7E3DB3A73320598566,4,5.000000,4
0x11D4C477D09821164BCA4F70A2EAE031,4,5.000000,4
0x10264F60A8F0A4D2F30810F5C661C673,4,5.000000,4
0x044668CCD5316B12A7CF0D54A156E3E9,4,5.000000,4
0xADBE70AB2C97442046D393988C8D1D27,5,5.000000,4
0xA70E9066DBFD10B6B97A3F54A1356762,4,5.000000,4
0x2FA13C8BD5705D279F7ED5CC9EC61C68,4,5.000000,4
0x6025C79C035C3D772133B8B8238463B2,4,5.000000,4
0x33AB10BE054370C254DDFCF0A6253422,4,5.000000,4
0x05730013EFDA596306417C3B09302475,4,5.000000,4
0x800214C63934ACD05D47E84214DB8BA8,4,5.000000,4
0xD52CBCE9845184537284A23C3BC3DA0E,4,5.000000,4
0x5F5A58930C3C35F3B5AF264F34FB8C85,4,5.000000,4
0x979E9F8B5B39DD243A2550C8B05AECF0,4,5.000000,4
0xA9B533A26E898B12E8B8D4C07279BF4D,4,5.000000,4
0x19E0F40A907EC568C34BFAC15DE4F4A1,4,5.000000,4
0x44717F64EC2A457979CF83C429077666,3,5.000000,3
0xC3F5668699A1B04C0FA61ECEA1E2BFF6,3,5.000000,3
0xEAF6D55068DEA77334E8477D3878D89E,3,5.000000,3
0xCAC4E0BC1A3269FA2B6EA5E763F6115B,3,5.000000,3
0x2075D8CD4DD63FF12DF0749A5866BB06,3,5.000000,3
0xB9C0FFA92F3FF9A5A3D45EF7213C0842,3,5.000000,3
0x28C7D8743FBC8679F484868CC0FCAEFB,3,5.000000,3
0xD149DE2F383552BAEA37A7198C2296CE,3,5.000000,3
0x01266D4C46AFA519678D16A8B683D325,3,5.000000,3
0x83C465A786B06574376909B35EF6752A,3,5.000000,3
0x4A82C4AF97FFC0FB2DC26BFDC03B1842,3,5.000000,3
0x7238F877570096AE403C51898FA64566,3,5.000000,3
0xE9C2DC0DD4AC38448289BE644AC94F42,3,5.000000,3
0x10CDD491D1DBEA8FB4EAD97B19C334CE,3,5.000000,3
0xF8E2C1B59CD4225A3E4FD0D013A76B93,3,5.000000,3
0x75745EF7BC7D4F3EA3380F6F5303F514,3,5.000000,3
0x9B76AD3D04236F76BC71C59470305E13,3,5.000000,3
0x5A4236931428800E9D9CC04AF0987118,3,5.000000,3
0x761681A821D8275BC79F552116D06869,3,5.000000,3
0x70126EECC6AA1274392A1743866E9678,3,5.000000,3
0x83A75EEA11694E36E56DD0CB2240229A,3,5.000000,3
0x5741DC2BF5044C34D0698681C5081BED,3,5.000000,3
0xEA846A0E7AD98A741783E886D89DFA44,3,5.000000,3
0xC00396CBDD2E088FE4281BAA5920AEF1,3,5.000000,3
0x13DD308F81FEA30CC670C656B2B46CC3,3,5.000000,3
0x9D213F303AFAE4983637247556438EDE,3,5.000000,3
0xD9CD369BFFA979D1634F8E1318BF2F1B,3,5.000000,3
0x2063DD1B9F568DF1C16741EA7D3E6ADB,3,5.000000,3
0x028872BFA080090A9D0ABD4F1AF168F8,3,5.000000,3
0x1E47DEFEEADECA0E9A18FA5A9311E735,3,5.000000,3
0x0CAB2DA43793A6F3C5ED8514C5F54627,3,5.000000,3
0xA69AA24CEC11168E7E39A3FBC727E925,3,5.000000,3
0x1CBCD2EE0AFB3FC09963B87EB65E7E4F,3,5.000000,3
0xB3E2FAF2C1004D674F16A3AA3197F0E1,3,5.000000,3
0x48E5EE06FB2DC74DF1C711A9B6DFAC2A,3,5.000000,3
0x3F84FEFC07DC159B268D4A77D3E8C425,3,5.000000,3
0x53088C75F948B48A7ECE173AC17F0C12,3,5.000000,3
0x1F7FD2A6FCD5A6FA5D8A4DABC72AAAE0,3,5.000000,3
0x11FB6F6D341ADBE19E81733701704635,3,5.000000,3
0x8A207B6080964F3C1FC9D35BD6096BA4,3,5.000000,3
0xB5F49FE968DFF6B112861E6CD8E192EF,2,5.000000,2
0x1DE62B6F2FD96227629786DB492433DB,2,5.000000,2
0x4FE2F67634D00C021AA01F96B6F2D68E,2,5.000000,2
0x751E274377499A8503FD6243AD9C56F6,2,5.000000,2
0x76833248BBC0E65A0293EC62023E4396,2,5.000000,2
0x0936E1837D0C79253456BBB2FFAAEF10,2,5.000000,2
0xF9BBDD976532D50B7816D285A22BD01E,2,5.000000,2
0x1710C3AAA9C6B44EC3883EE0FE300E21,2,5.000000,2
0xC52C644CC0DC85121207A27013EFC6AF,2,5.000000,2
0x8DEF3DB7F272735AFB2ECD03AECA09A7,2,5.000000,2
0x3D68C634A99A1BA46DBCA3967A69C623,2,5.000000,2
0x4D9FEA3499BDC22AA4DA4E339365F215,2,5.000000,2
0xBB7AD8A45C027BE8AB075B8E465F8CA0,2,5.000000,2
0x89757206B887AED36F3E18D858460FEA,2,5.000000,2
0x73DA1880B39C71DE2B262BC7720C1494,2,5.000000,2
0x4F0D637C1197FD65405EBD755AC9F86B,2,5.000000,2
0x497709C2976A8FA308730A2DEC5B0726,2,5.000000,2
0xA9415CF907DFA12F9ED18693244F5329,2,5.000000,2
0x296729FFB9B684050DD24836DAC4494A,2,5.000000,2
0x58C851D1A3C7CD3DA329EB59453FED44,2,5.000000,2
0x4F1F1C8666CDB6442F775C4E8CAED465,2,5.000000,2
0x458D868C9642F55F18F04E951A3FDDE6,2,5.000000,2
0x84DEB808079D1BE601C209C1E771B1CC,2,5.000000,2
0x0ADE5CC4A305ED7093A23F68CA47519C,2,5.000000,2
0xF410C8873029FCC3809B9DF6D0B28914,2,5.000000,2
0x2A73CBA571D90C694B7CACA072CCF6CE,2,5.000000,2
0x83C8AAFBEFB034674A70DE0EAC5B8954,2,5.000000,2
0x166E8F1381E09651983C38B1F6F91C11,2,5.000000,2
0x666658B8DA8370F30E1F89893B1DE5E6,2,5.000000,2
0xE88F7A2995BA184710D339C5C4BF2E30,2,5.000000,2
0x8C9348F33AE3DADA25C99C99ADE2AF78,2,5.000000,2
0x570D4583587A5FE2D47C7BE89B91AD27,2,5.000000,2
0xBBE87DCE25BA8B38BB61CC7210A3F10B,2,5.000000,2
0x1CBDC7CF130A41FD13A3C2A7D2FCFDA7,2,5.000000,2
0x98DDDBC4601DD4443CA174359B237166,2,5.000000,2
0x69B5EAA096C3F9D1E5C398C597F567D6,2,5.000000,2
