Month,Year,customer_state,Total_Sales,Total_Orders
2,2017,DF,10867.46,24
2,2017,GO,3000.67,27
2,2017,PI,3721.85,13
2,2017,MS,7927.16,11
2,2017,RS,18396.14,106
2,2017,MG,35978.34,281
2,2017,RJ,39012.97,269
1,2017,PI,1453.98,7
1,2017,AC,723.15,2
1,2017,GO,4658.29,18
1,2017,MA,986.43,9
1,2017,SP,47371.44,317
1,2017,RS,13743.90,56
1,2017,DF,2104.75,13
1,2017,MG,18831.37,112
1,2017,RJ,14933.38,116
1,2017,MS,170.36,1
10,2016,DF,1200.11,6
10,2016,RS,4715.64,25
10,2016,PI,246.09,1
10,2016,GO,1223.06,10
10,2016,SP,16844.59,117
10,2016,RJ,13407.58,65
10,2016,MA,998.85,4
10,2016,MG,5642.97,41
9,2016,RS,75.06,1
9,2016,SP,40.95,1
