customer_unique_id,Frequency
0x8D50F5EADF50201CCDCEDFB9E2AC8455,17
0x3E43E6105506432C953E165FB2ACF44C,9
0x6469F99C1F9DFAE7733B25662E7F1782,7
0xCA77025E7201E3B30C44B472FF346268,7
0x1B6C7548A2A1F9037C1FD3DDFED95F33,7
0x12F5D6E1CBF93DAFD9DCC19095DF0B3D,6
0x63CFC61CEE11CBE306BFF5857D00BFE4,6
0xDE34B16117594161A6A89C50B289D35A,6
0x47C1A3033B8B77B3AB6E109EB4D5FDF3,6
0xF0E310A6839DCE9DE1638E0FE5AB282A,6
0xDC813062E0FC23409CD255F7F53C7074,6
0xFE81BB32C243A86B2F86FBF053FE6140,5
0x56C8638E7C058B98AAE6D74D2DD6EA23,5
0x74CB1AD7E6D5674325C1F99B5EA30D82,5
0x394AC4DE8F3ACB14253C177F0E15BC58,5
0x35ECDF6858EDC6427223B64804CF028E,5
0xB4E4F24DE1E8725B74E4A1F4975116ED,5
0x4E65032F1F574189FB793BAC5A867BBC,5
0x5E8F38A9A1C023F3DB718EDCF926A2DB,5
0xB896655E2083A1D76B7B85DF8FC86E40,4
0x795C1622CF7A53D63D324E862349D01C,4
0xB39DDE6DD619943190A8CC9AA6DB38A4,4
0x08E5B38D7948D37FBB2A59FC5E175AB1,4
0x6358B15EF7FA9B1210F1A5735CABD3D9,4
0x83E7958A94BD7F74A9414D8782F87628,4
0x7305430719D715992B00BE82AF4A6AA8,4
0xC37CC6C1A59D81460A3059744F7ADA1C,4
0x12D8B5ED661190A3A08183644DFC504D,4
0xA7657330B1C135F3ACD420326E335B2C,4
0x4FACC2E6FBC2BFFAB2FEA92D2B4AA7E4,4
0x397B44D5BB99EABF54EA9C2B41EBB905,4
0xACEA6BD29B8C1E3C6A8B266A8FB4475E,4
0xF34CD7FD85A1F8BAFF886EDF09567BE3,4
0x738FFCF1017B584E9D2684B36E07469C,4
0x9CC5A07F169A1606FD347A56683E6EA6,4
0xA239B8E2FBCE33780F1F1912E2EE5275,4
0xA73C5464692D3BC09D64E3EDEFAE9015,4
0x083CA1AA470C280236380973A48F77C6,4
0xA1874C5550D2F0BC14CC122164603713,4
0xB2BD387FDC3CF05931F0F897D607DC88,4
0xF64EC6D8DD29940264CD0BBB5ECADE8A,4
0xA0ABD26659C9914690CBD3320D39FD96,4
0xB08FAB27D47A1EB6DEDA07BFD965AD43,4
0xEC7F1811826AB04A27A92197BC40C888,4
0xB8B3C435A58AEBD788A477BED8342910,4
0x25A560B9A6006157838AAB1BDBD68624,4
0x2DDC001B620BD90D0F4378CFDE1DB887,4
0xD3359A56D96666AC0C21BB01E7A61C95,4
0xC8460E4251689BA205045F3EA17884A1,4
0x02E9109B7E0A985108B43E573B6AFB23,3
0x6A6A7141119CEAECA4DFBAE7A580A515,3
0xE0836A97EAAE86AC4ADC26FBB334A527,3
0xAC987D464574EE0F743F9B630F937A27,3
0x1B6E96ED99CB8D135EFE220D761BBD67,3
0x7589544C08CC5DE364CAD85EE73F4B63,3
0x96F9204DE777192F8FEB7776D3CD09B4,3
0xE30B83AF13D6FF0B0F427B2A67C43B39,3
0x86DF00DC5FD68F4DD5D5945CA19F3ED6,3
0xE3301490C373DB9263C15A73172D0C6F,3
0xE53FD5575F1418397AAE732C5755B6FC,3
0x4BBAF6F7A10A7E26A8777AA5CB6D5864,3
0x728E4A7D0DB4845270091DED0923C71F,3
0x91D0504CF52D3F76B154C42D78979F39,3
0x7D3D94B4740895A17760E976797F9F0E,3
0x94A19681BF6FAA3C6CE3E2DF1C2D97CB,3
0x6A9E15D6FA8CE1CABF193C21AA577F64,3
0xBA84DA8C159659F116329563A0A981DD,3
0x4E2D666F4BBC94A8DED712172A433D65,3
0xD132B863416F85F2ABB1A988CA05DD12,3
0xA72A2D4E19868DBA726C0E6F49198C7E,3
0x67466B5877FAD6F2279C1FB634C9AA5C,3
0x64DF076FB557552498049BB07ED1CD5F,3
0x7779FDF670BFE673E064B9AA5447674E,3
0xAB243CD9E788D689CC822380F59616E1,3
0xC7C19110042036E6266ADC998CBF1289,3
0xD64023C35E5C1452CE568E993AC12C86,3
0x93360190B9375A40B65720EE99387A4A,3
0xCECC19FF12C206E6368DD1E9C22A848D,3
0xD26C616E241736E0C1C1AB14150239E7,3
0x3DE0C9303F39B7CCFE69CA11AEE19CC6,3
0x1373E04979CFA0FB2092909ABBD57F25,3
0xC27A30338B5D9D59399825F77E7DCC61,3
0x894382535EEF1CE243EC19088626BE0E,3
0xB59E4BB4EFE81BA0F7D30CFF6734F9A2,3
0x50CD97D731F3F5E3F321673C2671A23D,3
0xBB58670190DBA4E9B320F84CB98317A3,3
0x18E3D276253780B44B5B7BF83F6785EC,3
0x0B18593E033697810A62A987E77F4B8C,3
0xAB744045D2445F5BAE53B57A4B99BFBF,3
0xB2E9A05D23EA17713B5D7799F2004F8E,3
0x6668E1AE499E2E9BE475B7F708580232,3
0x2E43E031F10DE28E557C35EF668F9396,3
0xF11821D908830E74AD782532EBED897A,3
